"Aika";"Kilpailunimi";"Paikka";"Laji";"Järjestäjä";"Lisätiedot"
"07.09.2025";"Pyörämaailma MTB viikonloppu XCO";"Kempele";"MTB XCO";"KempeleenPyrintö";"https://www.kempeleenpyrinto.fi/hiihto-ja-pyoraily/pyoraily/tapahtumat/pyoramaailma-mtb-viikonloppu/
Suomen Cupin ja Kultainen Kampi cupin osakilpailu"
"07.09.2025";"27. Luukki MTB & GRAVEL";"Espoo";"MTB XCM";"Cycle Club Helsinki";"https://www.cch.fi/events/26-luukki-mtb-gravel-2024

Vuodesta 1999 yhtäjaksoisesti järjestetty Luukin MTB-tapahtuma kokoaa yhteen maastopyöräilijät my"
"09.09.2025";"Vihtavuoren cyclocross ja MTB";"Laukaa";"Cyclocross";"JYPS";"Keski-Suomen aluecupin cyclocross- ja MTB-tapahtuma.

https://www.jyps.fi/vihtavuoricc"
"12.09.2025";"Suomi DH Cup #6";"Nilsiä";"Downhill (DH)";"";"Järjestäjä: Savo MTB
Järjestäjän verkkosivut: https://www.savomtb.fi/"
"13.09.2025";"Lieto Gravel Tour";"Lieto";"Gravel";"Team Velo Cycling";"Katso lisää: lgt.fi"
"13.09.2025";"Syysetapit";"Pomarkku";"Maantie";"Porin Tarmo";"Maantiecup #8. Kaksipäiväinen etappikilpailu."
"13.09.2025";"BMX Racing Suomi Cup 5 ja 6";"Helsinki";"BMX";"BMX Helsinki";"Kutsu ilmestyy sivulle www.bmxhelsinki.net"
"13.09.2025";"Enduro Cup osakilpailu 4: Ukkohalla";"Hyrynsalmi";"Enduro";"Nidefir";"Järjestäjä: https://royalenduro.tapahtumiin.fi/fi/"
"20.09.2025";"Trialin Suomen Cup";"Kirkkonummi";"Trial";"MP-taito";"https://www.trialpyoraily.fi"
"21.09.2025";"Pirkka MTB";"Tampere/Lamminpää";"MTB XCM";"Tampereen Yritys";""
"28.09.2025";"KiipulaMTB";"Janakkala";"MTB XCM";"Tawast Cycling Club ry";""
"25.10.2025";"Cyclocross-SM 2026";"Espoo";"Cyclocross";"IK-32";"Vuoden 2026 cyclocrossin SM-kilpailut käydään lokakuussa Espoon Olarissa."
